time,count·,v1,v2,V3,v4,v5,v6,v7,v8,,,,,,
110776759,3229,0.0165,0.001688,-0.019125,-0.001688,0.000562,-0.001125,-0.002063,-0.00075,0,0,0,0,0,0
110913748,3230,0.016313,0.001312,-0.018562,-0.0015,0.001312,-0.000375,-0.001125,0.000188,0,0,0,0,0,0
110913748,3232,0.016313,0.001312,-0.018562,-0.0015,0.001312,-0.000375,-0.001125,0.000188,0,0,0,0,0,0
111016508,3233,0.014625,0.000938,-0.016125,-0.000937,0.002625,0.001125,0.000187,0.001312,0,0,0,0,0,0
111050764,3236,0.01575,0.000563,-0.018,-0.000563,0.002062,0,-0.00075,0.000375,0,0,0,0,0,0
111153517,3237,0.018375,0.000375,-0.021,-0.00075,0.001687,-0.000563,-0.001313,-0.000188,0,0,0,0,0,0
111153517,3239,0.018937,0.000375,-0.02175,-0.000375,0.00075,-0.001312,-0.00225,-0.000937,0,0,0,0,0,0
111256289,3240,0.018937,0.000187,-0.02175,0,0.002062,0,-0.000938,0.000375,0,0,0,0,0,0
111256289,3243,0.018937,0.000187,-0.02175,0,0.002062,0,-0.000938,0.000375,0,0,0,0,0,0
111393247,3244,0.02625,-0.004125,-0.030187,0.003938,0.001125,-0.001875,-0.003188,-0.001313,0,0,0,0,0,0
111427513,3246,0.02625,-0.004125,-0.030187,0.003938,0.001125,-0.001875,-0.003188,-0.001313,0,0,0,0,0,0
111496038,3247,0.021,-0.004313,-0.024,0.0045,0.003375,0.000938,-0.000188,0.001125,0,0,0,0,0,0
111530287,3250,0.021,-0.004313,-0.024,0.0045,0.003375,0.000938,-0.000188,0.001125,0,0,0,0,0,0
111633072,3251,0.027562,-0.004125,-0.032062,0.004125,0.001125,-0.002063,-0.003563,-0.001125,0,0,0,0,0,0
111667349,3254,0.034125,-0.005625,-0.039375,0.005625,0.003375,-0.000563,-0.002438,0.000188,0,0,0,0,0,0
111770116,3255,0.038625,-0.005437,-0.044437,0.00525,0.003,-0.001312,-0.00375,-0.000563,0,0,0,0,0,0
111770116,3257,0.038625,-0.005437,-0.044437,0.00525,0.003,-0.001312,-0.00375,-0.000563,0,0,0,0,0,0
111872895,3258,0.04875,-0.00675,-0.055312,0.006375,0.002625,-0.002063,-0.005063,-0.001125,0,0,0,0,0,0
111907156,3260,0.04875,-0.00675,-0.055312,0.006375,0.002625,-0.002063,-0.005063,-0.001125,0,0,0,0,0,0
111975681,3261,0.052313,-0.008438,-0.060375,0.008063,0.003187,-0.001875,-0.005438,-0.001125,0,0,0,0,0,0
112009940,3263,0.058125,-0.007875,-0.066938,0.007125,0.002062,-0.003187,-0.007313,-0.002062,0,0,0,0,0,0
112078464,3264,0.06075,-0.008438,-0.069937,0.00825,0.002437,-0.003375,-0.0075,-0.00225,0,0,0,0,0,0
112112725,3268,0.068812,-0.008438,-0.079312,0.007875,0.000938,-0.00525,-0.010125,-0.003937,0,0,0,0,0,0
112249779,3269,0.07275,-0.007875,-0.083625,0.006938,0.000375,-0.006187,-0.011063,-0.004688,0,0,0,0,0,0
